Catalog Number	Species	Collector	Collection Date	Location
51840	1103919 Onoclea sensibilis 		 Onocleaceae	Ray C. Friesner	s.n.: 08/25/1919
51866	1103662 Homalosorus pycnocarpos 		 Diplaziopsidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1868
51875	1103924 Onoclea sensibilis 		 Onocleaceae	Frederick J. Hermann	1009: 02/26/1926
51966	1103584 Thelypteris palustris 		 Thelypteridaceae	Peter W. Fritsch	486: 08/30/1987
52164	1103603 Deparia acrostichoides 		 Athyriaceae	Edwin B. Mains	s.n.: 07/04/1912
52166	1103647 Homalosorus pycnocarpos 		 Diplaziopsidaceae	Mary H. Clark	s.n.: 09/00/1869
52168	1103649 Homalosorus pycnocarpos 		 Diplaziopsidaceae	Elizabeth C. Almendinger	s.n.: 08/00/1867
52179	1103915 Onoclea sensibilis 		 Onocleaceae	L. Thomas	s.n.: 00/00/00
52227	1105103 Woodwardia virginica 		 Blechnaceae	Edwin B. Mains	s.n.: 07/19/1913
52238	1103567 Thelypteris palustris 		 Thelypteridaceae	Elizabeth C. Almendinger	s.n.: 08/18/1867
52312	1103997 Polystichum acrostichoides 		 Dryopteridaceae	L. Thomas	s.n.: 00/00/00
52352	1003367 Woodwardia virginica 		 Blechnaceae	Calvin H. Kauffman	s.n.: 07/19/1913
52616	1105852 Dryopteris carthusiana 		 Dryopteridaceae	Edwin B. Mains	s.n.: 05/00/1912
52642	1103987 Polystichum acrostichoides 		 Dryopteridaceae	Not evident	s.n.: 11/12/1914
52674	1105629 Asplenium platyneuron 		 Aspleniaceae	Peter W. Fritsch	72: 08/18/1985
52684	1105849 Dryopteris carthusiana 		 Dryopteridaceae	Calvin H. Kauffman	s.n.: 00/00/00
52693	1105106 Woodwardia virginica 		 Blechnaceae	Edwin B. Mains	s.n.: 07/01/1913
52694	1105107 Woodwardia virginica 		 Blechnaceae	L. Thomas	s.n.: 08/00/1908
52772	1105114 Woodwardia virginica 		 Blechnaceae	Elizabeth C. Almendinger	s.n.: 08/01/1861
52784	1103866 Onoclea sensibilis 		 Onocleaceae	Mary H. Clark	s.n.: 00/00/00
52786	1103868 Onoclea sensibilis 		 Onocleaceae	Edwin B. Mains	s.n.: 05/28/1914
52789	1105709 Lycopodiella inundata 		 Lycopodiaceae	Ellen Elliott Weatherbee	999: 09/16/1997
52801	1105981 Equisetum arvense 		 Equisetaceae	A.J. Pieters	s.n.: 04/20/1915
52838	1103986 Polystichum acrostichoides 		 Dryopteridaceae	A.J. Pieters	s.n.: 08/20/1892
52886	1103957 Polystichum acrostichoides 		 Dryopteridaceae	Not evident	s.n.: 06/13/1862
52419	1103862 Onoclea sensibilis 		 Onocleaceae	Elizabeth C. Almendinger	s.n.: 08/20/1861
52421	1103864 Onoclea sensibilis 		 Onocleaceae	Edwin B. Mains	s.n.: 05/28/1914
52970	1105835 Dryopteris carthusiana 		 Dryopteridaceae	Not evident	s.n.: 07/18/1913
53004	1103985 Polystichum acrostichoides 		 Dryopteridaceae	John H. Ehlers	s.n.: 10/25/1921
53008	1105634 Asplenium platyneuron 		 Aspleniaceae	Anton A. Reznicek	5190: 08/21/1979
53173	1105576 Pteridium aquilinum 		 Dennstaedtiaceae	John Wright	s.n.: 06/27/1838
124371	1230324 Linaria vulgaris 		 Plantaginaceae	Elizabeth C. Almendinger	: 06/07/1860
124372	1230328 Linaria vulgaris 		 Plantaginaceae	P.B. Taylor & H.W. Thompson	: 06/02/1903
124373	1230325 Linaria vulgaris 		 Plantaginaceae	S.H. Emerson	: 10/00/1924
124479	1242836 Utricularia vulgaris 		 Lentibulariaceae	H.W. Thomson	: 10/02/1903
124512	1242792 Utricularia vulgaris 		 Lentibulariaceae	Elizabeth C. Almendinger	: 06/29/1861
124602	1240196 Pedicularis canadensis 		 Orobanchaceae	Elizabeth C. Almendinger	: 05/07/1860
124604	1240195 Pedicularis canadensis 		 Orobanchaceae	George B. Sudworth	42: 05/17/1884
124621	1240088 Mimulus ringens 		 Phrymaceae	F.G. Gustafson & M. Best	: 08/20/1924
124622	1240089 Mimulus ringens 		 Phrymaceae	George B. Sudworth	253: 08/08/1884
124624	1240107 Mimulus ringens 		 Phrymaceae	F.G. Gustafson	: 08/04/1923
124701	1240360 Penstemon hirsutus 		 Plantaginaceae	John Wright	s.n.: 06/19/1838
124751	1240296 Penstemon digitalis 		 Plantaginaceae	Peter W. Fritsch	219: 06/15/1986
125466	1243102 Plantago lanceolata 		 Plantaginaceae	Mary H. Clark	: 06/11/1860
125490	1240371 Penstemon pallidus 		 Plantaginaceae	John H. Ehlers	1478: 05/31/1921
125508	1243142 Plantago lanceolata 		 Plantaginaceae	James W. Hardin	795: 07/26/1955
125509	1240304 Penstemon digitalis 		 Plantaginaceae	F.G. Gustafson	: 07/10/1924
125514	1240459 Scrophularia marilandica 		 Scrophulariaceae	A.B. Lyons, M.D.	: 00/00/1867
