Catalog Number	Species	Collector	Collection Date	Location
433770	1289461 Ribes cynosbati 		 Grossulariaceae	Carl O. Grassl	4892: 05/18/1933
433772	1474833 Ribes cynosbati 		 Grossulariaceae	Carl O. Grassl	5283: 05/11/1933
433776	1468630 Ribes cynosbati 		 Grossulariaceae	Frederick J. Hermann	85: 05/12/1926
433777	1465551 Ribes cynosbati 		 Grossulariaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
433779	1465569 Ribes cynosbati 		 Grossulariaceae	A.J. Pieters	s.n.: 05/04/1913
433780	1465566 Ribes cynosbati 		 Grossulariaceae	A.J. Pieters	s.n.: 05/07/1913
433782	 Ribes cynosbati 		 Grossulariaceae	C. Marvin Rogers	3522: 05/02/1946
433857	1465116 Mitella nuda 		 Saxifragaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
433861	1465118 Mitella nuda 		 Saxifragaceae	George B. Sudworth	34: 05/24/1884
433955	1465337 Parnassia glauca 		 Parnassiaceae	Peter W. Fritsch	112: 09/15/1985
433997	1465338 Parnassia glauca 		 Parnassiaceae	Peter W. Fritsch	79: 08/19/1985
434113	1465316 Parnassia glauca 		 Parnassiaceae	Elizabeth C. Almendinger	s.n.: 08/24/1860
434115	 Parnassia glauca 		 Parnassiaceae	Stewart H. Burnham	s.n.: 10/15/1898
434117	1465314 Parnassia glauca 		 Parnassiaceae	Rup Chand	2: 08/19/1972
434125	1465318 Parnassia glauca 		 Parnassiaceae	Carl D. LaRue	s.n.: 09/20/1914
434228	1468845 Ribes hirtellum 		 Grossulariaceae	Elizabeth C. Almendinger	s.n.: 05/09/1861
434233	1468848 Ribes hirtellum 		 Grossulariaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
434234	1468843 Ribes hirtellum 		 Grossulariaceae	A.J. Pieters	s.n.: 05/25/1893
434347	1468922 Ribes nigrum 		 Grossulariaceae	Carl O. Erlanson	51: 05/20/1924
434370	1468926 Ribes odoratum 		 Grossulariaceae	Eileen W. Erlanson	s.n.: 06/20/1926
434372	1468928 Ribes odoratum 		 Grossulariaceae	Carl D. LaRue	4: 05/09/1914
434448	1468936 Ribes rubrum 		 Grossulariaceae	Edward G. Voss	15656: 05/01/1984
434526	1465234 Micranthes pensylvanica 		 Saxifragaceae	Elizabeth C. Almendinger	s.n.: 05/12/1860
434529	1465233 Micranthes pensylvanica 		 Saxifragaceae	John Wright	s.n.: 06/19/1838
434530	1465242 Micranthes pensylvanica 		 Saxifragaceae	John H. Ehlers	711: 06/07/1918
434532	1465236 Micranthes pensylvanica 		 Saxifragaceae	John H. Ehlers	1471: 05/19/1921
434533	 Micranthes pensylvanica 		 Saxifragaceae	John H. Ehlers	3838: 05/21/1929
434537	1465235 Micranthes pensylvanica 		 Saxifragaceae	Carl O. Grassl	5224: 05/25/1933
434538	1465241 Micranthes pensylvanica 		 Saxifragaceae	Frederick J. Hermann	151: 05/28/1926
434540	 Micranthes pensylvanica 		 Saxifragaceae	Lois Jotter	519: 05/15/1936
434542	1465240 Micranthes pensylvanica 		 Saxifragaceae	Carl D. LaRue	s.n.: 06/15/1915
434544	 Micranthes pensylvanica 		 Saxifragaceae	C. Marvin Rogers	4095: 06/06/1947
434701	1468985 Ribes triste 		 Grossulariaceae	Elizabeth C. Almendinger	s.n.: 04/20/1860
434767	1473481 Taenidia integerrima 		 Apiaceae	Peter W. Fritsch	415: 06/14/1987
434837	1473504 Taenidia integerrima 		 Apiaceae	Elizabeth C. Almendinger	s.n.: 05/23/1860
434838	 Taenidia integerrima 		 Apiaceae	Stewart H. Burnham	s.n.: 05/27/1898
434839	1473501 Taenidia integerrima 		 Apiaceae	John H. Ehlers	669: 05/20/1918
434840	1473493 Taenidia integerrima 		 Apiaceae	S.H. Emerson	17: 10/00/1924
434841	1473502 Taenidia integerrima 		 Apiaceae	Eileen W. Erlanson	131: 06/30/1924
434844	1473498 Taenidia integerrima 		 Apiaceae	Lewis E. Foote	s.n.: 05/15/1862
434846	1473496 Taenidia integerrima 		 Apiaceae	Frederick J. Hermann	56: 05/28/1926
434847	1473500 Taenidia integerrima 		 Apiaceae	C.A. Ludwig	s.n.: 06/17/1917
434848	1473497 Taenidia integerrima 		 Apiaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
434850	1473499 Taenidia integerrima 		 Apiaceae	Julius P. Romein	s.n.: 04/25/1915
434875	1473521 Thaspium trifoliatum 		 Apiaceae	Peter W. Fritsch	375: 05/17/1987
434920	1479690 Torilis nodosa 		 Apiaceae	Anton A. Reznicek	6979: 08/18/1982
435021	1467221 Tiarella cordifolia 		 Saxifragaceae	S.H. Emerson	s.n.: 05/13/1925
435159	1469088 Hamamelis virginiana 		 Hamamelidaceae	Elizabeth C. Almendinger	s.n.: 10/14/1861
435160	1469123 Hamamelis virginiana 		 Hamamelidaceae	Carl O. Erlanson	816: 09/31/1924
435162	1469108 Hamamelis virginiana 		 Hamamelidaceae	Cyrus L. Lundell	8309: 10/09/1939
435163	1469087 Hamamelis virginiana 		 Hamamelidaceae	Cyrus L. Lundell	9685: 10/02/1940
435165	 Hamamelis virginiana 		 Hamamelidaceae	John H. Schaffner	s.n.: 00/00/1895
435205	1469169 Platanus occidentalis 		 Platanaceae	Volney M. Spalding	s.n.: 05/13/1880
435260	1473543 Zizia aurea 		 Apiaceae	Peter W. Fritsch	187B: 06/15/1986
435320	 Zizia aurea 		 Apiaceae	Stewart H. Burnham	s.n.: 05/27/1898
435321	1473579 Zizia aurea 		 Apiaceae	John H. Ehlers	677: 05/20/1918
435322	1473569 Zizia aurea 		 Apiaceae	S.H. Emerson	s.n.: 05/22/1925
435323	1473564 Zizia aurea 		 Apiaceae	Eileen W. Erlanson	885: 06/03/1925
435324	1473549 Zizia aurea 		 Apiaceae	Lewis E. Foote	s.n.: 05/15/1862
435325	1473574 Zizia aurea 		 Apiaceae	Carl O. Grassl	4812: 05/22/1932
435327	1473563 Zizia aurea 		 Apiaceae	Carl D. LaRue	s.n.: 05/29/1915
435328	 Zizia aurea 		 Apiaceae	C. Marvin Rogers	3957: 07/14/1946
435329	1473571 Zizia aurea 		 Apiaceae	Julius P. Romein	s.n.: 05/10/1915
435330	1473567 Zizia aurea 		 Apiaceae	George D. Sones	s.n.: 05/08/1892
435365	1473167 Osmorhiza longistylis 		 Apiaceae	Peter W. Fritsch	369: 05/17/1987
435416	1473148 Osmorhiza longistylis 		 Apiaceae	Elizabeth C. Almendinger	s.n.: 06/05/1862
435417	 Osmorhiza longistylis 		 Apiaceae	Stewart H. Burnham	s.n.: 05/27/1898
435418	1473172 Osmorhiza longistylis 		 Apiaceae	John H. Ehlers	675: 05/20/1918
435419	1473159 Osmorhiza longistylis 		 Apiaceae	Eileen W. Erlanson	145: 06/30/1927
435420	1473156 Osmorhiza longistylis 		 Apiaceae	Lewis E. Foote	s.n.: 05/30/1863
435423	1473179 Osmorhiza longistylis 		 Apiaceae	Frederick J. Hermann	162: 05/03/1926
435424	1473161 Osmorhiza longistylis 		 Apiaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
435425	1473165 Osmorhiza longistylis 		 Apiaceae	A.J. Pieters	s.n.: 05/03/1893
435426	 Osmorhiza longistylis 		 Apiaceae	C. Marvin Rogers	3821: 07/27/1946
435477	1466988 Bunias orientalis 		 Brassicaceae	John H. Ehlers	6025: 06/08/1936
435516	1228482 Solanum dulcamara 		 Solanaceae	John H. Ehlers	713: 06/07/1918
435534	1473194 Oxypolis rigidior 		 Apiaceae	George B. Sudworth	s.n.: 09/21/1891
435659	128984 Rubus allegheniensis 		 Rosaceae	Carl D. LaRue	s.n.: 05/29/1915
435882	1209665 Amaranthus powellii 		 Amaranthaceae	Raymond Hunt	s.n.: 11/15/1982
435906	1209663 Amaranthus retroflexus 		 Amaranthaceae	Jean Dawson	s.n.: 00/00/1903
435907	1209664 Amaranthus retroflexus 		 Amaranthaceae	Carl D. LaRue	s.n.: 08/30/1915
435940	1209707 Amaranthus tuberculatus 		 Amaranthaceae	John H. Ehlers	1452: 10/00/1920
435942	1209710 Amaranthus tuberculatus 		 Amaranthaceae	Frederick J. Hermann	9178: 09/02/1937
435943	1209711 Amaranthus tuberculatus 		 Amaranthaceae	A.J. Pieters	s.n.: 08/10/1894
435977	1209596 Amaranthus albus 		 Amaranthaceae	Not evident	s.n.: 08/16/1916
436072	1289639 Wolffia borealis 		 Araceae	Frederick J. Hermann	6979: 08/16/1935
436073	1289640 Lemna turionifera 		 Araceae	Frederick J. Hermann	6979: 08/16/1935
436177	1289657 Lemna turionifera 		 Araceae	Frederick J. Hermann	s.n.: 08/24/1935
436644	1289868 Wolffia columbiana 		 Araceae	R.L. Steere	375: 10/28/1946
436647	1289874 Wolffia columbiana 		 Araceae	Carl O. Erlanson	s.n.: 10/19/1921
436665	1289883 Wolffia borealis 		 Araceae	R.L. Steere	376: 11/24/1946
436766	1289931 Lemna minor 		probably L. minor; no purple on any "fronds" Araceae	Sylvia M. Taylor	s.n.: 09/05/1969
436777	1289958 Lemna turionifera 		 Araceae	Carl O. Grassl	7888: 07/05/1937
436805	1005565 Triosteum perfoliatum 		 Caprifoliaceae	Warren H. Wagner, Jr.	s.n.: 08/05/1966
436808	1475002 Drosera rotundifolia 		 Droseraceae	R. Homola & W. Payne	s.n.: 06/06/1962
436815	1475005 Agrostemma githago 		 Caryophyllaceae	D. Smith	s.n.: 06/21/1962
436816	1475006 Physalis heterophylla 		 Solanaceae	D. Smith	s.n.: 06/25/1962
436833	1476009 Cyperus bipartitus 		 Cyperaceae	D. Smith & M. Houts	s.n.: 08/08/1962
436838	1476011 Carex cristatella 		 Cyperaceae	D. Smith & M. Houts	s.n.: 08/01/1962
436839	1476012 Amaranthus retroflexus 		 Amaranthaceae	A.I. Gibben	1039: 10/04/1960
436844	1476015 Carex aurea 		 Cyperaceae	D. Smith	: 00/00/00
436845	1476016 Hypoxis hirsuta 		 Hypoxidaceae	R. Homola & W. Payne	3411: 06/06/1962
436846	1476017 Verbascum blattaria 		 Scrophulariaceae	G.A. Corbett	23: 07/12/1961
436848	1476018 Camelina microcarpa 		 Brassicaceae	G.A. Corbett	14: 06/16/1961
436850	1476019 Fragaria virginiana 		 Rosaceae	R. Homola	s.n.: 05/17/1962
436852	1476020 Geum rivale 		 Rosaceae	R. Homola & W. Payne	3413: 06/06/1962
436854	1476021 Potentilla norvegica 		 Rosaceae	G.A. Corbett	: 00/00/00
436957	1051192 Silphium terebinthinaceum 		 Asteraceae	D. Smith	s.n.: 08/01/1962
436961	1397257 Rudbeckia hirta 		 Asteraceae	R. Miller	s.n.: 07/00/1969
436962	1397258 Symphyotrichum puniceum 		 Asteraceae	Margo S. Freeborn	H-2: 10/02/1967
436963	1397259 Symphyotrichum ericoides 		 Asteraceae	Margo S. Freeborn	H-6: 10/02/1967
436964	1397260 Symphyotrichum cordifolium 		 Asteraceae	Margo S. Freeborn	H-9: 09/15/1967
436965	1397261 Symphyotrichum urophyllum 		 Asteraceae	Margo S. Freeborn	H-11: 09/15/1967
436967	1475118 Cirsium discolor 		 Asteraceae	D. Smith & M. Houts	s.n.: 08/07/1962
436968	1475119 Symphyotrichum lanceolatum 		 Asteraceae	Stanwyn G. Shetler	1013: 10/02/1958
436969	1475120 Helianthus giganteus 		 Asteraceae	Stanwyn G. Shetler	1027: 10/05/1958
436970	1475121 Erigeron annuus 		 Asteraceae	Stanwyn G. Shetler	1023: 09/25/1958
436971	1475122 Erigeron annuus 		 Asteraceae	Stanwyn G. Shetler	1057: 10/05/1958
436972	1475123 Rudbeckia laciniata 		 Asteraceae	Stanwyn G. Shetler	1032: 10/05/1958
436973	1475124 Heliopsis helianthoides 		 Asteraceae	Stanwyn G. Shetler	1028: 10/04/1958
436974	1475125 Lactuca biennis 		 Asteraceae	Stanwyn G. Shetler	1029: 09/27/1958
436975	1475126 Prenanthes alba 		 Asteraceae	Stanwyn G. Shetler	1030: 10/12/1958
436976	1475127 Rudbeckia hirta 		 Asteraceae	Stanwyn G. Shetler	1031: 09/25/1958
436977	1475128 Symphyotrichum lateriflorum 		 Asteraceae	Stanwyn G. Shetler	1005: 09/25/1958
436978	1475129 Symphyotrichum novae-angliae 		 Asteraceae	Stanwyn G. Shetler	1007: 10/02/1958
436979	1475130 Symphyotrichum pilosum 		 Asteraceae	Stanwyn G. Shetler	1009: 10/12/1958
436980	1475131 Solidago patula 		 Asteraceae	Stanwyn G. Shetler	1037: 10/05/1958
436981	1475132 Sonchus arvensis 		 Asteraceae	Stanwyn G. Shetler	1040: 10/04/1958
436982	1475133 Taraxacum officinale 		s.l. Asteraceae	Stanwyn G. Shetler	1043: 10/12/1958
436983	1475134 Solidago riddellii 		 Asteraceae	Stanwyn G. Shetler	1038: 09/23/1958
436984	1475135 Solidago uliginosa 		 Asteraceae	Stanwyn G. Shetler	1039: 09/25/1958
436985	1475136 Solidago rugosa 		 Asteraceae	Stanwyn G. Shetler	1089: 09/27/1958
436986	1475137 Solidago rugosa 		 Asteraceae	Stanwyn G. Shetler	1088: 09/27/1958
436987	1475138 Rudbeckia triloba 		 Asteraceae	Stanwyn G. Shetler	1033: 10/04/1958
436988	1475139 Ambrosia artemisiifolia 		 Asteraceae	Stanwyn G. Shetler	1000: 10/04/1958
436989	1475140 Packera aurea 		 Asteraceae	Stanwyn G. Shetler	s.n.: 05/09/1959
436990	1475141 Solidago altissima 		 Asteraceae	Stanwyn G. Shetler	1095: 10/02/1958
436991	1475142 Euthamia graminifolia 		 Asteraceae	Stanwyn G. Shetler	1035: 10/02/1958
436992	1475143 Solidago ohioensis 		 Asteraceae	Stanwyn G. Shetler	1036: 09/25/1958
436993	1475144 Cichorium intybus 		 Asteraceae	Stanwyn G. Shetler	1020: 10/04/1958
436994	1475145 Symphyotrichum puniceum 		 Asteraceae	Stanwyn G. Shetler	1011: 09/25/1958
436995	1475146 Cirsium muticum 		 Asteraceae	Stanwyn G. Shetler	1021: 09/25/1958
436996	1475147 Bidens frondosa 		 Asteraceae	Stanwyn G. Shetler	1016: 10/02/1958
436997	1475148 Bidens vulgata 		 Asteraceae	Stanwyn G. Shetler	1017: 10/04/1958
436998	1475149 Bidens vulgata 		 Asteraceae	Stanwyn G. Shetler	1087: 09/23/1958
436999	1475150 Symphyotrichum lanceolatum 		 Asteraceae	Stanwyn G. Shetler	1014: 10/04/1958
437000	1475151 Bidens cernua 		 Asteraceae	Stanwyn G. Shetler	1015: 09/23/1958
437003	1475152 Prunus virginiana 		 Rosaceae	R. Miller	s.n.: 07/00/1969
437004	1475153 Desmodium perplexum 		 Fabaceae	A.I. Gibben	1038: 10/04/1960
437006	1475155 Festuca rubra 		 Poaceae	Peter B. Kaufman	s.n.: 06/28/1961
437007	1475156 Triglochin palustris 		 Juncaginaceae	David H. Benzing	2: 07/19/1962
437008	1475157 Bromus latiglumis 		 Poaceae	R. Miller	s.n.: 07/00/1969
437009	1475158 Lolium pratense 		 Poaceae	Marion T. Hall	s.n.: 11/07/1963
437010	1475159 Elymus hystrix 		 Poaceae	David H. Benzing	1: 07/19/1962
437011	1475160 Cornus foemina 		 Cornaceae	R. Miller	s.n.: 07/00/1969
437012	1475161 Corylus americana 		 Betulaceae	R. Miller	s.n.: 07/00/1969
437013	1475162 Cornus alternifolia 		 Cornaceae	R. Miller	s.n.: 07/00/1969
437014	1475163 Allium cernuum 		 Alliaceae	R. Miller	s.n.: 07/00/1969
437015	1475164 Campanula aparinoides 		 Campanulaceae	R. Miller	s.n.: 07/00/1969
437016	1475165 Lespedeza capitata 		 Fabaceae	D. Smith	s.n.: 08/10/1962
437017	1475166 Scrophularia marilandica 		 Scrophulariaceae	Rainer W. Scora	s.n.: 07/23/1962
437018	1475167 Viola pubescens 		 Violaceae	D. Smith & M. Houts	s.n.: 07/21/1962
437019	1475168 Panicum capillare 		 Poaceae	D. Smith	s.n.: 08/09/1962
437020	1475169 Hypericum punctatum 		 Hypericaceae	D. Smith	s.n.: 07/25/1962
437022	1475171 Nicotiana alata 		 Solanaceae	Peter A. Hyypio	1352: 07/17/1961
437023	1475172 Parthenocissus inserta 		 Vitaceae	Peter A. Hyypio	1303: 06/30/1961
437024	1475173 Heuchera americana 		 Saxifragaceae	Peter A. Hyypio	1283: 06/22/1961
437025	1475174 Amaranthus powellii 		 Amaranthaceae	Peter A. Hyypio	1434: 08/10/1961
437027	1475176 Arisaema triphyllum 		 Araceae	Peter A. Hyypio	1221: 05/18/1961
437028	1475177 Rhus glabra 		 Anacardiaceae	Peter A. Hyypio	1317: 06/30/1961
437029	1475178 Rhus aromatica 		 Anacardiaceae	Peter A. Hyypio	1306: 06/30/1961
437030	1475179 Toxicodendron radicans 		 Anacardiaceae	Peter A. Hyypio	1441: 08/18/1961
437031	1475180 Amaranthus albus 		 Amaranthaceae	Peter A. Hyypio	1395: 07/28/1961
437032	1475181 Chenopodium album 		s.l. Amaranthaceae	Peter A. Hyypio	1437: 08/10/1961
437033	1475182 Mollugo verticillata 		 Molluginaceae	Peter A. Hyypio	1394: 07/28/1961
437034	1475183 Anemone quinquefolia 		 Ranunculaceae	Peter A. Hyypio	1214: 05/18/1961
437035	1475184 Thalictrum dioicum 		 Ranunculaceae	Peter A. Hyypio	1216: 05/18/1961
437036	1475185 Cryptotaenia canadensis 		 Apiaceae	Peter A. Hyypio	1351: 07/14/1961
437037	1475186 Osmorhiza claytonii 		 Apiaceae	Peter A. Hyypio	1350: 07/14/1961
437038	1005566 Osmorhiza longistylis 		 Apiaceae	Peter A. Hyypio	1249: 06/06/1961
437040	1475187 Osmorhiza longistylis 		 Apiaceae	Peter A. Hyypio	1349: 07/14/1961
437041	1475188 Sanicula odorata 		 Apiaceae	Peter A. Hyypio	1285: 06/22/1961
437042	1475189 Zizia aurea 		 Apiaceae	Peter A. Hyypio	1258: 06/06/1961
437043	1475190 Celtis occidentalis 		 Cannabaceae	Peter A. Hyypio	1451: 08/00/1961
437044	1005567 Micranthes pensylvanica 		 Saxifragaceae	Peter A. Hyypio	1262: 06/06/1961
437046	1475191 Lysimachia quadriflora 		 Myrsinaceae	Peter A. Hyypio	1389: 07/25/1961
437047	1475192 Actaea rubra 		 Ranunculaceae	Peter A. Hyypio	1404: 07/31/1961
437048	1475193 Caltha palustris 		 Ranunculaceae	Peter A. Hyypio	1197: 05/01/1961
437049	1475194 Hepatica americana 		 Ranunculaceae	Peter A. Hyypio	1194: 04/04/1961
437050	1475195 Ranunculus hispidus 		 Ranunculaceae	Peter A. Hyypio	1208: 05/10/1961
437051	1475196 Ranunculus hispidus 		 Ranunculaceae	Peter A. Hyypio	1261: 06/06/1961
437052	1475197 Viola sororia 		 Violaceae	Peter A. Hyypio	1203: 05/08/1961
437053	1475198 Viola pubescens 		 Violaceae	Peter A. Hyypio	1207: 05/10/1961
437054	1475199 Viola labradorica 		 Violaceae	Peter A. Hyypio	1217: 05/18/1961
437055	1475200 Viola sororia 		 Violaceae	Peter A. Hyypio	1220: 05/18/1961
437056	1475201 Viola sororia 		 Violaceae	Peter A. Hyypio	1219: 05/18/1961
437057	1475202 Viola sororia 		 Violaceae	Peter A. Hyypio	1218: 05/18/1961
437058	1475203 Vitis riparia 		 Vitaceae	Peter A. Hyypio	1291: 06/22/1961
437059	1475204 Selaginella eclipes 		 Selaginellaceae	Peter A. Hyypio	1403: 07/31/1961
437060	1475205 Toxicodendron vernix 		 Anacardiaceae	Peter A. Hyypio	1445: 08/18/1961
437061	1476025 Lemna minor 		 Araceae	Peter A. Hyypio	1318: 06/30/1961
437062	1476026 Oxalis stricta 		 Oxalidaceae	Peter A. Hyypio	1319: 06/30/1961
437063	1476027 Circaea canadensis 		 Onagraceae	Peter A. Hyypio	1417: 08/02/1961
437064	1476028 Euonymus europaeus 		 Celastraceae	Peter A. Hyypio	1295: 06/28/1961
437065	1476029 Juglans nigra 		 Juglandaceae	Peter A. Hyypio	1286: 06/22/1961
437066	1476030 Carya ovata 		 Juglandaceae	Peter A. Hyypio	1284: 06/22/1961
437067	1476031 Iris virginica 		 Iridaceae	Peter A. Hyypio	1287: 06/22/1961
437068	1476032 Sisyrinchium angustifolium 		 Iridaceae	Peter A. Hyypio	1381: 07/25/1961
437069	1476033 Hypericum prolificum 		 Hypericaceae	Peter A. Hyypio	1415: 08/02/1961
437070	1476034 Hypericum perforatum 		 Hypericaceae	Peter A. Hyypio	1419: 08/02/1961
437071	1476035 Setaria viridis 		 Poaceae	Peter A. Hyypio	1396: 07/28/1961
437072	1476036 Elymus repens 		 Poaceae	Peter A. Hyypio	1348: 07/14/1961
437073	1476037 Eragrostis cilianensis 		 Poaceae	Peter A. Hyypio	1421: 08/00/1961
437074	1476038 Elymus trachycaulus 		 Poaceae	Peter A. Hyypio	1430: 08/00/1961
437075	1476039 Medicago lupulina 		 Fabaceae	Peter A. Hyypio	1243: 06/06/1961
437076	1476040 Fraxinus americana 		 Oleaceae	Peter A. Hyypio	1413: 08/02/1961
437077	1476041 Fraxinus pennsylvanica 		 Oleaceae	Peter A. Hyypio	1321: 06/30/1961
437078	1476042 Viburnum lentago 		 Adoxaceae	Peter A. Hyypio	1256: 06/06/1961
437079	1476043 Humulus lupulus 		 Cannabaceae	Peter A. Hyypio	1343: 07/05/1961
437080	1476044 Arenaria serpyllifolia 		 Caryophyllaceae	Peter A. Hyypio	1263: 06/06/1961
437081	1476045 Holosteum umbellatum 		 Caryophyllaceae	Peter A. Hyypio	1210: 05/10/1961
437082	1476046 Menispermum canadense 		 Menispermaceae	Peter A. Hyypio	1324: 06/30/1961
437083	1476047 Salix amygdaloides 		 Salicaceae	Peter A. Hyypio	1407: 07/31/1961
437084	1476048 Salix petiolaris 		 Salicaceae	Peter A. Hyypio	1245: 06/06/1961
437085	1476049 Salix serissima 		 Salicaceae	Peter A. Hyypio	1257: 06/06/1961
437086	1476050 Salix candida 		 Salicaceae	Peter A. Hyypio	1426: 08/00/1961
437087	1476051 Galium aparine 		 Rubiaceae	Peter A. Hyypio	1323: 06/30/1961
437088	1476052 Juncus nodosus 		 Juncaceae	Peter A. Hyypio	1386: 07/25/1961
437089	1476053 Galium boreale 		 Rubiaceae	Peter A. Hyypio	1342: 07/05/1961
437090	1476054 Juglans nigra 		 Juglandaceae	Peter A. Hyypio	1315: 06/30/1961
437091	1476055 Platanus occidentalis 		 Platanaceae	Peter A. Hyypio	1418: 08/02/1961
437092	1476056 Claytonia virginica 		 Montiaceae	Peter A. Hyypio	1199: 05/03/1961
437093	1476057 Onoclea sensibilis 		 Onocleaceae	Peter A. Hyypio	1212: 05/18/1961
437094	1476058 Rumex crispus 		 Polygonaceae	Peter A. Hyypio	1289: 06/22/1961
437095	1476059 Sanguinaria canadensis 		 Papaveraceae	Peter A. Hyypio	1192: 04/24/1961
437096	1476060 Juniperus virginiana 		 Cupressaceae	Peter A. Hyypio	1316: 06/30/1961
437097	1476061 Lathyrus palustris 		 Fabaceae	Peter A. Hyypio	1382: 07/25/1961
437098	1476062 Ribes americanum 		 Grossulariaceae	Peter A. Hyypio	1222: 05/18/1961
437099	1476063 Fraxinus pennsylvanica 		 Oleaceae	Peter A. Hyypio	1332: 06/30/1961
437100	1476064 Fraxinus pennsylvanica 		 Oleaceae	Peter A. Hyypio	1326: 06/30/1961
437101	1476065 Arabidopsis thaliana 		 Brassicaceae	Peter A. Hyypio	1201: 05/05/1961
437102	1476066 Sisymbrium altissimum 		 Brassicaceae	Peter A. Hyypio	1439: 08/10/1961
437103	1476067 Asclepias syriaca 		 Apocynaceae	Peter A. Hyypio	1340: 07/05/1961
437104	1476068 Smilax hispida 		 Smilacaceae	Peter A. Hyypio	1302: 06/28/1961
437105	1476069 Maianthemum stellatum 		 Convallariaceae	Peter A. Hyypio	1406: 07/31/1961
437106	1476070 Trillium grandiflorum 		 Trilliaceae	Peter A. Hyypio	1213: 05/18/1961
437107	1476071 Silene antirrhina 		 Caryophyllaceae	Peter A. Hyypio	1346: 07/14/1961
437108	1476072 Impatiens pallida 		 Balsaminaceae	Peter A. Hyypio	1399: 07/28/1961
437109	1476073 Cynoglossum officinale 		 Boraginaceae	Peter A. Hyypio	1330: 06/30/1961
437110	1476074 Buglossoides arvensis 		 Boraginaceae	Peter A. Hyypio	1264: 05/05/1961
437111	1476075 Triantha glutinosa 		 Melanthiaceae	Peter A. Hyypio	1339: 07/05/1961
437112	1476076 Sonchus arvensis 		 Asteraceae	Peter A. Hyypio	1357: 07/18/1961
437113	1476077 Asclepias syriaca 		 Apocynaceae	Peter A. Hyypio	1364: 07/18/1961
437114	1476078 Asclepias tuberosa 		 Apocynaceae	Peter A. Hyypio	1368: 07/25/1961
437115	1476079 Impatiens capensis 		 Balsaminaceae	Peter A. Hyypio	1398: 07/28/1961
437116	1476080 Berberis thunbergii 		 Berberidaceae	Peter A. Hyypio	1400: 07/28/1961
437117	1476081 Maianthemum racemosum 		 Convallariaceae	Peter A. Hyypio	1320: 06/30/1961
437118	1476082 Cornus amomum 		 Cornaceae	Peter A. Hyypio	1359: 07/18/1961
437119	1476083 Cornus foemina 		 Cornaceae	Peter A. Hyypio	1358: 07/18/1961
437120	1476084 Ostrya virginiana 		 Betulaceae	Peter A. Hyypio	1309: 06/30/1961
437121	1476085 Barbarea vulgaris 		 Brassicaceae	Peter A. Hyypio	1355: 07/18/1961
437122	1476086 Cardamine bulbosa 		 Brassicaceae	Peter A. Hyypio	1215: 05/18/1961
437123	1476087 Cardamine concatenata 		 Brassicaceae	Peter A. Hyypio	1209: 05/10/1961
437124	1476088 Berteroa incana 		 Brassicaceae	Peter A. Hyypio	1397: 07/28/1961
437125	1476089 Lepidium campestre 		 Brassicaceae	Peter A. Hyypio	1244: 06/06/1961
437126	1476090 Thlaspi arvense 		 Brassicaceae	Peter A. Hyypio	1392: 07/25/1961
437127	1476091 Conyza canadensis 		 Asteraceae	Peter A. Hyypio	1456: 08/00/1961
437128	1476092 Cirsium vulgare 		 Asteraceae	Peter A. Hyypio	1409: 08/01/1961
437129	1476093 Eriophorum viridi-carinatum 		 Cyperaceae	Peter A. Hyypio	1259: 06/06/1961
437130	1476094 Carex bebbii 		 Cyperaceae	Peter A. Hyypio	1431: 08/00/1961
437131	1476095 Carex cephalophora 		 Cyperaceae	Peter A. Hyypio	1347: 07/14/1961
427326	1464384 Sisymbrium officinale 		 Brassicaceae	John Wright	s.n.: 06/26/1838
427414	1005247 Rubus pensilvanicus 		complex Rosaceae	Calvin H. Kauffman	s.n.: 06/22/1926
427415	1470724 Rubus pensilvanicus 		complex Rosaceae	A.J. Pieters	s.n.: 08/01/1913
427464	1464416 Thlaspi arvense 		 Brassicaceae	Elizabeth C. Almendinger	s.n.: 00/00/1872
427465	 Thlaspi arvense 		 Brassicaceae	John H. Ehlers	3850: 06/06/1929
427466	1464418 Thlaspi arvense 		 Brassicaceae	Edwin B. Mains	s.n.: 10/00/1912
427474	1357388 Quercus macrocarpa 		probably young Fagaceae	Eileen W. Erlanson	903: 05/27/1925
427629	1470798 Rubus pubescens 		 Rosaceae	Peter W. Fritsch	236: 07/03/1986
427706	1470809 Rubus pubescens 		 Rosaceae	Elizabeth C. Almendinger	s.n.: 05/16/1860
427709	1470790 Rubus pubescens 		 Rosaceae	Eileen W. Erlanson	919: 05/27/1925
427713	1470807 Rubus pubescens 		 Rosaceae	Carl D. LaRue	s.n.: 05/15/1915
427714	 Rubus pubescens 		 Rosaceae	C. Marvin Rogers	3533: 05/03/1946
427715	1470795 Rubus pubescens 		 Rosaceae	Julius P. Romein	s.n.: 05/07/1915
427716	1470806 Rubus pubescens 		 Rosaceae	George B. Sudworth	56: 05/24/1884
427841	1357459 Carum carvi 		 Apiaceae	Paul J. Podolski	s.n.: 07/26/1917
427972	1357478 Cicuta bulbifera 		 Apiaceae	John H. Ehlers	3785: 09/07/1928
