"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-16","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-17","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-19","0.49"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-20","0.38"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-22","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-23","0.31"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-24","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-25","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-27","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-28","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-06-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-02","0.04"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-04","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-05","0.09"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-06","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-07","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-10","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-12","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-14","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-15","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-16","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-17","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-19","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-21","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-22","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-23","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-24","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-07-25","0.00"
