"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2017-09-10",,"67","39","40"
"USC00200228","ANN ARBOR SE, MI US","2017-09-11",,"71","40","45"
"USC00200228","ANN ARBOR SE, MI US","2017-09-12",,"74","45","45"
"USC00200228","ANN ARBOR SE, MI US","2017-09-13",,"77","45","55"
"USC00200228","ANN ARBOR SE, MI US","2017-09-14",,"73","50","50"
"USC00200228","ANN ARBOR SE, MI US","2017-09-15",,"79","50","53"
"USC00200228","ANN ARBOR SE, MI US","2017-09-16",,"82","53","53"
"USC00200228","ANN ARBOR SE, MI US","2017-09-17",,"82","53","55"
"USC00200228","ANN ARBOR SE, MI US","2017-09-18",,"86","55","67"
"USC00200228","ANN ARBOR SE, MI US","2017-09-19",,"76","62","62"
"USC00200228","ANN ARBOR SE, MI US","2017-09-20",,"73","62","66"
"USC00200228","ANN ARBOR SE, MI US","2017-09-21",,"84","63","64"
"USC00200228","ANN ARBOR SE, MI US","2017-09-22",,"92","64","64"
"USC00200228","ANN ARBOR SE, MI US","2017-09-23",,"92","59","60"
"USC00200228","ANN ARBOR SE, MI US","2017-09-24",,"92","59","59"
"USC00200228","ANN ARBOR SE, MI US","2017-09-25",,"91","59","61"
"USC00200228","ANN ARBOR SE, MI US","2017-09-26",,"91","61","62"
"USC00200228","ANN ARBOR SE, MI US","2017-09-27",,"91","62","68"
"USC00200228","ANN ARBOR SE, MI US","2017-09-28",,"78","45","45"
"USC00200228","ANN ARBOR SE, MI US","2017-09-29",,"66","45","52"
"USC00200228","ANN ARBOR SE, MI US","2017-09-30",,"68","42","43"
"USC00200228","ANN ARBOR SE, MI US","2017-10-01",,"66","36","36"
"USC00200228","ANN ARBOR SE, MI US","2017-10-02",,"70","36","40"
"USC00200228","ANN ARBOR SE, MI US","2017-10-03",,"77","40","45"
"USC00200228","ANN ARBOR SE, MI US","2017-10-04",,"85","45","68"
"USC00200228","ANN ARBOR SE, MI US","2017-10-05",,"78","46","46"
"USC00200228","ANN ARBOR SE, MI US","2017-10-06",,"77","46","55"
"USC00200228","ANN ARBOR SE, MI US","2017-10-07",,"63","55","61"
"USC00200228","ANN ARBOR SE, MI US","2017-10-08",,"83","60","61"
"USC00200228","ANN ARBOR SE, MI US","2017-10-09",,"76","61","61"
"USC00200228","ANN ARBOR SE, MI US","2017-10-10",,"78","51","52"
"USC00200228","ANN ARBOR SE, MI US","2017-10-11",,"70","51","51"
"USC00200228","ANN ARBOR SE, MI US","2017-10-12",,"52","49","49"
"USC00200228","ANN ARBOR SE, MI US","2017-10-13",,"56","49","55"
"USC00200228","ANN ARBOR SE, MI US","2017-10-14",,"71","55","59"
"USC00200228","ANN ARBOR SE, MI US","2017-10-15",,"66","59","66"
"USC00200228","ANN ARBOR SE, MI US","2017-10-16",,"71","39","43"
"USC00200228","ANN ARBOR SE, MI US","2017-10-17",,"58","38","40"
"USC00200228","ANN ARBOR SE, MI US","2017-10-18",,"69","40","41"
"USC00200228","ANN ARBOR SE, MI US","2017-10-19",,"70","41","47"
"USC00200228","ANN ARBOR SE, MI US","2017-10-20",,"69","37","39"
"USC00200228","ANN ARBOR SE, MI US","2017-10-21",,"75","39","46"
"USC00200228","ANN ARBOR SE, MI US","2017-10-22",,"74","45","45"
"USC00200228","ANN ARBOR SE, MI US","2017-10-23",,"79","45","57"
"USC00200228","ANN ARBOR SE, MI US","2017-10-24",,"64","46","48"
"USC00200228","ANN ARBOR SE, MI US","2017-10-25",,"53","41","41"
"USC00200228","ANN ARBOR SE, MI US","2017-10-26",,"51","28","28"
"USC00200228","ANN ARBOR SE, MI US","2017-10-27",,"55","28","44"
"USC00200228","ANN ARBOR SE, MI US","2017-10-28",,"56","35","35"
"USC00200228","ANN ARBOR SE, MI US","2017-10-29",,"44","33","36"
"USC00200228","ANN ARBOR SE, MI US","2017-10-30",,"45","35","37"
"USC00200228","ANN ARBOR SE, MI US","2017-10-31",,"47","37","37"
"USC00200228","ANN ARBOR SE, MI US","2017-11-01",,"43","32","34"
"USC00200228","ANN ARBOR SE, MI US","2017-11-02",,"50","34","48"
"USC00200228","ANN ARBOR SE, MI US","2017-11-03",,"58","42","42"
"USC00200228","ANN ARBOR SE, MI US","2017-11-04",,"50","34","38"
"USC00200228","ANN ARBOR SE, MI US","2017-11-05",,"52","38","50"
"USC00200228","ANN ARBOR SE, MI US","2017-11-06",,"62","42","42"
"USC00200228","ANN ARBOR SE, MI US","2017-11-07",,"46","33","33"
"USC00200228","ANN ARBOR SE, MI US","2017-11-08",,"49","24","24"
"USC00200228","ANN ARBOR SE, MI US","2017-11-09",,"50","24","31"
"USC00200228","ANN ARBOR SE, MI US","2017-11-10",,"49","17","17"
"USC00200228","ANN ARBOR SE, MI US","2017-11-11",,"30","17","23"
"USC00200228","ANN ARBOR SE, MI US","2017-11-12",,"37","23","31"
"USC00200228","ANN ARBOR SE, MI US","2017-11-13",,"37","31","34"
"USC00200228","ANN ARBOR SE, MI US","2017-11-14",,"43","28","28"
"USC00200228","ANN ARBOR SE, MI US","2017-11-15",,"47","28","37"
"USC00200228","ANN ARBOR SE, MI US","2017-11-16",,"46","37","37"
"USC00200228","ANN ARBOR SE, MI US","2017-11-17",,"40","29","33"
"USC00200228","ANN ARBOR SE, MI US","2017-11-18",,"43","33","42"
"USC00200228","ANN ARBOR SE, MI US","2017-11-19",,"45","33","34"
"USC00200228","ANN ARBOR SE, MI US","2017-11-20",,"36","27","27"
"USC00200228","ANN ARBOR SE, MI US","2017-11-21",,"48","27","38"
"USC00200228","ANN ARBOR SE, MI US","2017-11-22",,"50","28","28"
"USC00200228","ANN ARBOR SE, MI US","2017-11-23",,"37","22","25"
"USC00200228","ANN ARBOR SE, MI US","2017-11-24",,"40","25","29"
"USC00200228","ANN ARBOR SE, MI US","2017-11-25",,"54","29","48"
"USC00200228","ANN ARBOR SE, MI US","2017-11-26",,"50","22","22"
"USC00200228","ANN ARBOR SE, MI US","2017-11-27",,"45","22","29"
"USC00200228","ANN ARBOR SE, MI US","2017-11-28",,"51","29","42"
"USC00200228","ANN ARBOR SE, MI US","2017-11-29",,"65","32","32"
"USC00200228","ANN ARBOR SE, MI US","2017-11-30",,"50","26","36"
"USC00200228","ANN ARBOR SE, MI US","2017-12-01",,"51","23","23"
"USC00200228","ANN ARBOR SE, MI US","2017-12-02",,"48","23","29"
"USC00200228","ANN ARBOR SE, MI US","2017-12-03",,"51","27","29"
"USC00200228","ANN ARBOR SE, MI US","2017-12-04",,"56","29","39"
"USC00200228","ANN ARBOR SE, MI US","2017-12-05",,"57","39","42"
"USC00200228","ANN ARBOR SE, MI US","2017-12-06",,"42","25","26"
"USC00200228","ANN ARBOR SE, MI US","2017-12-07",,"40","26","27"
"USC00200228","ANN ARBOR SE, MI US","2017-12-08",,"30","18","18"
"USC00200228","ANN ARBOR SE, MI US","2017-12-09",,"33","18","22"
"USC00200228","ANN ARBOR SE, MI US","2017-12-10",,"28","22","25"
"USC00200228","ANN ARBOR SE, MI US","2017-12-11",,"28","23","23"
"USC00200228","ANN ARBOR SE, MI US","2017-12-12",,"30","19","19"
"USC00200228","ANN ARBOR SE, MI US","2017-12-13",,"22","12","16"
"USC00200228","ANN ARBOR SE, MI US","2017-12-14",,"23","12","12"
"USC00200228","ANN ARBOR SE, MI US","2017-12-15",,"23","7","17"
"USC00200228","ANN ARBOR SE, MI US","2017-12-16",,"31","17","31"
"USC00200228","ANN ARBOR SE, MI US","2017-12-17",,"38","21","24"
"USC00200228","ANN ARBOR SE, MI US","2017-12-18",,"37","24","36"
"USC00200228","ANN ARBOR SE, MI US","2017-12-19",,"41","36","37"
"USC00200228","ANN ARBOR SE, MI US","2017-12-20",,"48","27","27"
"USC00200228","ANN ARBOR SE, MI US","2017-12-21",,"35","24","28"
"USC00200228","ANN ARBOR SE, MI US","2017-12-22",,"35","28","32"
"USC00200228","ANN ARBOR SE, MI US","2017-12-23",,"36","31","31"
"USC00200228","ANN ARBOR SE, MI US","2017-12-24",,"37","18","18"
"USC00200228","ANN ARBOR SE, MI US","2017-12-25",,"24","14","20"
"USC00200228","ANN ARBOR SE, MI US","2017-12-26",,"24","3","4"
"USC00200228","ANN ARBOR SE, MI US","2017-12-27",,"14","-6","0"
"USC00200228","ANN ARBOR SE, MI US","2017-12-28",,"13","-10","-7"
"USC00200228","ANN ARBOR SE, MI US","2017-12-29",,"16","-7","9"
"USC00200228","ANN ARBOR SE, MI US","2017-12-30",,"20","9","13"
