STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20001208 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001208 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001208 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001209 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001209 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001211 09:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20001211 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001211 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001211 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001212 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001212 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001212 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001212 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001212 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001214 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001215 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001216 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001223 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001224 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001226 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20001227 19:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010101 00:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010101 01:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010101 08:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010114 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010117 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010126 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010128 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010129 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010129 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010129 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010129 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010130 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010201 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20010201 22:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010202 08:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20010204 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010206 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010208 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010208 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 09:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 12:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010209 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010214 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010214 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010215 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010224 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010224 18:00,0.10
